id,ortho,cgram,genre,nombre,freqfilms,verper,cvcv,iddersyll,nbsyll,haspir
1,a,NOM,m,,81.36,,V,734,1,-1
2,a,AUX,,,6350.91,3s,V,734,1,-1
3,a,VER,,,5498.34,3s,V,734,1,-1
4,a capella,ADV,,,0.04,,V,2754,4,-1
5,a cappella,ADV,,,0.04,,V,2754,4,-1
6,a contrario,ADV,,,0.0,,V,330,4,-1
7,a fortiori,ADV,,,0.04,,V,268,4,-1
8,a giorno,ADV,,,0.0,,V,3363,3,-1
9,a jeun,ADV,,,0.18,,V,584,2,-1
10,a l'instar,PRE,,,0.26,,V,4568,3,-1
11,a posteriori,ADV,,,0.01,,V,268,5,-1
12,a priori,ADV,,,0.63,,V,268,4,-1
13,a priori,NOM,m,,0.41,,V,268,4,-1
14,aa,NOM,m,s,0.01,,V,734,2,-1
15,ab absurdo,ADV,,,0.0,,V,1429,4,-1
16,ab initio,ADV,,,0.01,,V,4032,4,-1
17,ab ovo,ADV,,,0.0,,V,4970,3,-1
18,abaca,NOM,m,s,0.01,,V,2386,3,-1
19,abaissa,VER,,,0.0,3s,V,3918,3,-1
20,abaissai,VER,,,0.1,1s,V,3861,3,-1
21,abaissaient,VER,,,0.0,3p,V,3861,3,-1
22,abaissait,VER,,,0.02,3s,V,3861,3,-1
23,abaissant,ADJ,m,s,0.03,,V,3848,3,-1
24,abaissant,VER,,,0.01,,V,3848,3,-1
25,abaissante,ADJ,f,s,0.01,,V,3859,3,-1
26,abaisse,NOM,f,s,0.02,,V,836,2,-1
27,abaisse,VER,,,1.28,2s-1s-3s,V,836,2,-1
28,abaisse-langue,NOM,m,,0.04,,V,4104,3,-1
29,abaissement,NOM,m,s,0.31,,V,2964,4,-1
30,abaissent,VER,,,0.05,3p,V,836,2,-1
31,abaisser,VER,,,1.09,,V,3949,3,-1
32,abaissera,VER,,,0.19,3s,V,229,4,-1
33,abaisserai,VER,,,0.1,1s,V,185,4,-1
34,abaisseraient,VER,,,0.01,3p,V,185,4,-1
35,abaisserais,VER,,,0.13,1s-2s,V,185,4,-1
36,abaisserait,VER,,,0.02,3s,V,185,4,-1
37,abaisses,VER,,,0.16,2s,V,836,2,-1
38,abaissez,VER,,,0.53,2p-2p,V,3949,3,-1
39,abaissons,VER,,,0.02,1p,V,4314,3,-1
40,abaissèrent,VER,,,0.0,3p,V,3863,3,-1
41,abaissé,VER,m,s,0.74,,V,3949,3,-1
42,abaissé,ADJ,m,s,0.03,,V,3949,3,-1
43,abaissée,VER,f,s,0.17,,V,3949,3,-1
44,abaissée,ADJ,f,s,0.0,,V,3949,3,-1
45,abaissées,VER,f,p,0.01,,V,3949,3,-1
46,abaissées,ADJ,f,p,0.02,,V,3949,3,-1
47,abaissés,VER,m,p,0.3,,V,3949,3,-1
48,abaissés,ADJ,m,p,0.01,,V,3949,3,-1
49,abalone,NOM,m,s,0.01,,V,2747,3,-1
50,abalones,NOM,m,p,0.0,,V,2747,3,-1
51,abandon,NOM,m,s,4.77,,V,1478,3,-1
52,abandonna,VER,,,0.59,3s,V,3253,4,-1
53,abandonnai,VER,,,0.27,1s,V,3209,4,-1
54,abandonnaient,VER,,,0.07,3p,V,3209,4,-1
55,abandonnais,VER,,,0.35,1s-2s,V,3209,4,-1
56,abandonnait,VER,,,1.04,3s,V,3209,4,-1
57,abandonnant,VER,,,1.15,,V,3206,4,-1
58,abandonnas,VER,,,0.0,2s,V,3253,4,-1
59,abandonne,VER,,,24.04,2s-1s-3s-3s,V,1241,3,-1
60,abandonnent,VER,,,2.44,3p-3p,V,1241,3,-1
61,abandonner,VER,,,28.37,2p,V,3287,4,-1
62,abandonnera,VER,,,1.52,3s,V,229,5,-1
63,abandonnerai,VER,,,2.39,1s,V,185,5,-1
64,abandonneraient,VER,,,0.02,3p,V,185,5,-1
65,abandonnerais,VER,,,0.93,1s-2s,V,185,5,-1
66,abandonnerait,VER,,,0.23,3s,V,185,5,-1
67,abandonneras,VER,,,0.3,2s,V,229,5,-1
68,abandonnerez,VER,,,0.14,2p,V,263,5,-1
69,abandonneriez,VER,,,0.23,2p,V,329,5,-1
70,abandonnerions,VER,,,0.01,1p,V,333,5,-1
71,abandonnerons,VER,,,0.39,1p,V,394,5,-1
72,abandonneront,VER,,,0.41,3p,V,394,5,-1
73,abandonnes,VER,,,4.13,2s-2s,V,1241,3,-1
74,abandonneurs,NOM,m,p,0.0,,V,3199,4,-1
75,abandonnez,VER,,,5.72,2p-2p,V,3287,4,-1
76,abandonniez,VER,,,0.14,2p,V,3352,4,-1
77,abandonnions,VER,,,0.06,1p,V,3362,4,-1
78,abandonnique,ADJ,,s,0.0,,V,3305,4,-1
